Date,USDZAR
15/03/2019,14.51
18/03/2019,14.42
19/03/2019,14.43
20/03/2019,14.50
21/03/2019,14.22
22/03/2019,14.20
25/03/2019,14.47
26/03/2019,14.30
27/03/2019,14.41
28/03/2019,14.60
29/03/2019,14.58
01/04/2019,14.33
02/04/2019,14.18
03/04/2019,14.20
04/04/2019,14.13
05/04/2019,14.10
08/04/2019,14.10
09/04/2019,14.12
10/04/2019,14.08
11/04/2019,13.89
12/04/2019,14.01
15/04/2019,13.95
16/04/2019,14.04
17/04/2019,14.02
18/04/2019,13.96
19/04/2019,14.04
22/04/2019,14.07
23/04/2019,14.15
24/04/2019,14.25
25/04/2019,14.44
26/04/2019,14.41
29/04/2019,14.35
30/04/2019,14.31
01/05/2019,14.29
02/05/2019,14.44
03/05/2019,14.52
06/05/2019,14.45
07/05/2019,14.45
08/05/2019,14.43
09/05/2019,14.37
10/05/2019,14.33
13/05/2019,14.19
14/05/2019,14.32
15/05/2019,14.24
16/05/2019,14.20
17/05/2019,14.28
20/05/2019,14.42
21/05/2019,14.37
23/05/2019,14.36
24/05/2019,14.49
27/05/2019,14.42
28/05/2019,14.43
29/05/2019,14.70
30/05/2019,14.63
31/05/2019,14.77
03/06/2019,14.60
04/06/2019,14.45
05/06/2019,14.63
06/06/2019,14.84
07/06/2019,15.00
10/06/2019,14.92
11/06/2019,14.81
12/06/2019,14.65
13/06/2019,14.86
14/06/2019,14.86
17/06/2019,14.79
18/06/2019,14.80
19/06/2019,14.51
20/06/2019,14.32
21/06/2019,14.33
24/06/2019,14.31
25/06/2019,14.35
26/06/2019,14.33
27/06/2019,14.22
28/06/2019,14.16
01/07/2019,14.07
02/07/2019,14.13
03/07/2019,14.07
04/07/2019,14.05
05/07/2019,14.04
08/07/2019,14.20
09/07/2019,14.18
10/07/2019,14.18
11/07/2019,13.97
12/07/2019,13.95
15/07/2019,13.96
16/07/2019,13.90
17/07/2019,13.94
18/07/2019,14.00
19/07/2019,13.86
22/07/2019,13.91
23/07/2019,13.85
24/07/2019,13.92
25/07/2019,13.87
26/07/2019,14.08
29/07/2019,14.24
30/07/2019,14.16
31/07/2019,14.18
01/08/2019,14.33
02/08/2019,14.60
05/08/2019,14.73
06/08/2019,14.95
07/08/2019,14.93
08/08/2019,15.05
09/08/2019,15.04
12/08/2019,15.28
13/08/2019,15.29
14/08/2019,15.13
15/08/2019,15.41
16/08/2019,15.25
